EID,Name
7458500,Lionel Messi
18004457,Kevin De Bruyne
85139014,Kylian Mbappé
67217524,Rodri
29179241,Erling Haaland
55041632,Bernardo Silva
98028755,Mohamed Salah
28049320,Harry Kane
719601,Robert Lewandowski
18026122,Thibaut Courtois
19302146,Vinícius Júnior
55057659,Ederson
55070299,Rúben Dias
37024025,Virgil van Dijk
19024412,Neymar
29232937,Jude Bellingham
19058734,Alisson
92039023,Joshua Kimmich
67086656,Antoine Griezmann
13158205,Victor Osimhen
92020288,Heung-Min Son
91138280,Leroy Sané
28108494,Phil Foden
28060397,John Stones
14110660,Lautaro Martínez
85075627,Raphaël Varane
35017428,Marc-André ter Stegen
735216,Cristiano Ronaldo
8718372,Manuel Neuer
43139595,Nicolò Barella
67228634,Achraf Hakimi
83111483,Rafael Leão
653054,Luka Modrić
19220266,Gabriel Jesus
43252073,Gianluigi Donnarumma
64016316,Jan Oblak
18007344,Romelu Lukaku
28122642,Bukayo Saka
78085068,Ronald Araujo
85140178,Ousmane Dembélé
37055843,Matthijs de Ligt
28009441,Kyle Walker
53095137,Martin Ødegaard
67022040,Thiago
43124203,Bruno Fernandes
28106491,Declan Rice
8435089,Karim Benzema
63013145,Milan Škriniar
85104424,Kingsley Coman
49056243,Eduardo Camavinga
28054109,Raheem Sterling
19047778,Oscar
78074594,Federico Valverde
19306929,Rodrygo
19163495,Marquinhos
67293495,Pedri
91003875,İlkay Gündoğan
89063073,Kim Min-Jae
28124579,Jamal Musiala
37047745,Frenkie de Jong
14183207,Julián Álvarez
19273276,Éder Militão
28067800,Jack Grealish
98031331,Manuel Akanji
20041862,Alphonso Davies
5788648,Dušan Tadić
19061518,Casemiro
37025551,Nathan Aké
35011448,Thomas Müller
16182894,Dayot Upamecano
8833628,Thiago Silva
1510566,Sergio Busquets
85081880,N'Golo Kanté
67046662,Mauro Icardi
62127037,Sergej Milinković-Savić
14000219,Ángel Di María
55041623,João Cancelo
92023410,Antonio Rüdiger
28100266,Marcus Rashford
91104807,Leon Goretzka
28046572,Alex Oxlade-Chamberlain
156772,Toni Kroos
85120944,Benjamin Pavard
28066083,Serge Gnabry
67052513,Jordi Alba
35007944,Mats Hummels
48036304,Jules Koundé
67131771,Luis Alberto
16010162,David Alaba
76049803,Luis Díaz
67197145,Lucas Hernández
24016529,Marcelo Brozović
85086031,Adrien Rabiot
24016925,Mateo Kovačić
19099575,Danilo
78005742,Edinson Cavani
92026209,Hakan Çalhanoğlu
85078058,Riyad Mahrez
43010773,Ciro Immobile
34000647,Olivier Giroud
67211695,Theo Hernández
85094520,Mike Maignan
62182055,Dušan Vlahović
43201830,Lucas Torreira
8502440,Edin Džeko
67184349,Iñaki Williams
83169822,João Félix
43252460,Alessandro Bastoni
67047092,Koke
27066387,Andreas Christensen
67178177,José Gayà
48042326,Aurélien Tchouameni
85140301,Christopher Nkunku
7458272,Sergio Ramos
83111338,Gedson Fernandes
43161651,Federico Chiesa
85133751,Ferland Mendy
59130638,Khvicha Kvaratskhelia
14043255,Guido Rodríguez
19297055,Bruno Guimarães
85085378,Aymeric Laporte
